Rank,Previous Rank,Name,Computer/System Model,Manufacturer,Country,Year,Segment,Total Cores,Accelerator/Co-Processor Cores,Rmax [TFlop/s],Rpeak [TFlop/s],Power (kW),Power Efficiency [GFlops/Watts],Architecture,Processor Technology,Processor Speed (MHz),Operating System,OS Family,Accelerator/Co-Processor,Cores per Socket,System Family,Continent
284,232,,"Inspur NF5468M5, Xeon Gold 6240 18C 2.6GHz, NVIDIA Tesla V100, 25G Ethernet",Inspur,China,2020,Others,47320,44800,2282,4368,,,Cluster,Intel Cascade lake,2600,Linux,Linux,NVIDIA Tesla V100,18,Inspur Cluster,Asia
285,233,,"Inspur NF5468M5, Xeon Gold 6240 18C 2.6GHz, NVIDIA Tesla V100, 25G Ethernet",Inspur,China,2020,Others,47320,44800,2282,4368,,,Cluster,Intel Cascade lake,2600,Linux,Linux,NVIDIA Tesla V100,18,Inspur Cluster,Asia
286,234,,"Inspur NF5468M5, Xeon Gold 6240 18C 2.6GHz, NVIDIA Tesla V100, 25G Ethernet",Inspur,China,2020,Others,47320,44800,2282,4368,,,Cluster,Intel Cascade lake,2600,Linux,Linux,NVIDIA Tesla V100,18,Inspur Cluster,Asia
287,,Dardel,"HPE Cray EX, AMD EPYC 7742 64C 2.25GHz, Slingshot-10",HPE,Sweden,2021,Academic,69632,,2279.4,2506.752,,,MPP,AMD Zen-2 (Rome),2250,HPE Cray OS,Linux,None,64,HPE Cray EX,Europe
288,235,Béluga,"Dell EMC PowerEdge R640, Xeon Gold 6148 20C 2.4GHz, NVIDIA Tesla V100, Infiniband EDR",DELL EMC,Canada,2019,Academic,72480,55040,2278,7494.784,240,9.491666667,Cluster,Intel Skylake,2400,CentOS,Linux,NVIDIA Tesla V100,20,Dell PowerEdge Cluster,North America
289,236,,"Inspur TS10000 HPC Server, Xeon Gold 6240 18C 2.6GHz, NVIDIA Tesla V100, InfiniBand HDR 100",Inspur,China,2020,Research,40560,38400,2276,3923.71,,,Cluster,Intel Cascade lake,2600,Linux,Linux,NVIDIA Tesla V100,18,Inspur Cluster,Asia
290,237,,"Inspur TS10000 HPC Server, Xeon Gold 6230 20C 2.1GHz, NVIDIA Tesla V100, Infiniband HDR",Inspur,China,2020,Others,40800,38400,2275,3905.28,,,Cluster,Intel Cascade lake,2100,Linux,Linux,NVIDIA Tesla V100,20,Inspur Cluster,Asia
291,,SSC-21 Scalable Module,"Apollo 6500 Gen10 plus, AMD  EPYC 7543 32C 2.8GHz, NVIDIA A100 80GB​, Infiniband HDR200",HPE,South Korea,2021,Industry,16704,15552,2274.1,2597.82,103.01,22.07649743,Cluster,AMD Zen-3 (Milan),2800,RHEL 8.3,Linux,NVIDIA A100 80GB​,32,HP Apollo,Asia
292,238,Cumulus,"PowerEdge C6420/C6320, Intel Xeon Phi 7210/Xeon Gold 6142F 16C 2.6GHz, Intel Omni-Path",DELL EMC,United Kingdom,2018,Academic,50176,,2271.38,2688,530,4.285622642,Cluster,Intel Skylake,2600,Scientific Linux,Linux,None,16,Dell PowerEdge Cluster,Europe
293,239,CEA-HFi,"BullSequana XH2000, AMD EPYC 7763 64C 2.45GHz, Atos BXI V2",Atos,France,2021,Research,73728,,2262,2890.14,,,Cluster,AMD Zen-3 (Milan),2450,Linux,Linux,None,64,BullSequana,Europe
294,240,MTS GROM,"NVIDIA DGX A100, AMD EPYC 7742 64C 2.25GHz, NVIDIA A100 40GB, Infiniband",Nvidia,Russia,2021,Industry,19840,17280,2258,3011.84,,,Cluster,AMD Zen-2 (Rome),2250,Ubuntu 20.04.1 LTS,Linux,NVIDIA A100 40GB,64,NVIDIA DGX,Europe
295,,Tethys,"NVIDIA DGX A100 Liquid Cooled Prototype, AMD EPYC 7742 64C 2.25GHz, NVIDIA A100 80GB​, Infiniband HDR",Nvidia,United States,2021,Vendor,19840,17280,2255,2680,71.5,31.53846154,Cluster,AMD Zen-2 (Rome),2250,Ubuntu 20.04.1 LTS,Linux,NVIDIA A100 80GB​,64,NVIDIA DGX,North America
296,241,Makman-2,"Dell PowerEdge R630, Xeon E5-2680v3 12C 2.5GHz, Infiniband QDR",DELL EMC,Saudi Arabia,2015,Industry,76032,,2249.68,3041.28,1134,1.983844797,Cluster,Intel Haswell,2500,Redhat Enterprise Linux 6.5,Linux,None,12,Dell PowerEdge Cluster,Asia
297,242,G1,"Lenovo HR650x, Xeon Gold 6133 20C 2.5GHz, 25G Ethernet",Lenovo,China,2019,Industry,54000,,2242.94,4320,,,Cluster,Intel Skylake,2500,Linux,Linux,None,20,Lenovo ThinkSystem,Asia
298,243,,"ThinkSystem HR650X, Xeon Gold 6233 24C 2.5GHz, 10G Ethernet",Lenovo,China,2021,Industry,57600,,2241.88,4608,,,Cluster,Intel Cascade lake,2500,Linux,Linux,None,24,Lenovo ThinkSystem,Asia
299,244,,"Sugon TC6000, Xeon Gold 6130 16C 2.1GHz, 25G Ethernet",Sugon,China,2019,Industry,67200,,2192,4515.84,740,2.962162162,Cluster,Intel Skylake,2100,CentOS,Linux,None,16,Sugon Cluster,Asia
300,245,,"Inspur NF5468M5, Xeon Gold 6248 20C 2.5GHz, NVIDIA Tesla V100, 25G Ethernet",Inspur,China,2020,Others,50400,44800,2189,4816,,,Cluster,Intel Cascade lake,2500,Linux,Linux,NVIDIA Tesla V100,20,Inspur Cluster,Asia
301,335,MN-3,"MN-Core Server, Xeon Platinum 8260M 24C 2.4GHz, Preferred Networks MN-Core, MN-Core DirectConnect",Preferred Networks,Japan,2020,Industry,1664,128,2181.2,3389.52,55.39,39.37894927,Cluster,Intel Cascade lake,2400,Ubuntu,Linux,Preferred Networks MN-Core,24,Preferred Networks Cluster,Asia
302,,B4A,"ThinkSystem C2397, Xeon Platinum 8280 28C 2.7GHz, 100G Ethernet",Lenovo,Germany,2021,Industry,49280,,2166.79,4257.79,,,Cluster,Intel Cascade lake,2700,Linux,Linux,None,28,Lenovo ThinkSystem,Europe
303,,,"ThinkSystem C2397, Xeon Platinum 8280 28C 2.7GHz, 100G Ethernet",Lenovo,United States,2021,Industry,49280,,2166.79,4257.79,,,Cluster,Intel Cascade lake,2700,Linux,Linux,None,28,Lenovo ThinkSystem,North America
304,,,"ThinkSystem C2397, Xeon Platinum 8280 28C 2.7GHz, 100G Ethernet",Lenovo,United States,2021,Industry,49280,,2166.79,4257.79,,,Cluster,Intel Cascade lake,2700,Linux,Linux,None,28,Lenovo ThinkSystem,North America
305,246,H1,"Lenovo HR650x, Xeon Gold 6133 20C 2.5GHz, 25G Ethernet",Lenovo,China,2019,Industry,52000,,2166.52,4160,,,Cluster,Intel Skylake,2500,Linux,Linux,None,20,Lenovo ThinkSystem,Asia
306,247,,"Inspur NF5468M5, Xeon Gold 6146 12C 3.2GHz, NVIDIA Tesla V100, Infiniband EDR",Inspur,China,2019,Industry,49800,48000,2164,4423.68,,,Cluster,Intel Skylake,3200,Linux,Linux,NVIDIA Tesla V100,12,Inspur Cluster,Asia
307,248,,"Inspur NF5468M5, Xeon Gold 6146 12C 3.2GHz, NVIDIA Tesla V100, Infiniband EDR",Inspur,China,2019,Industry,49800,48000,2164,4423.68,,,Cluster,Intel Skylake,3200,Linux,Linux,NVIDIA Tesla V100,12,Inspur Cluster,Asia
308,249,,"Inspur NF5468M5, Xeon Gold 6146 12C 3.2GHz, NVIDIA Tesla V100, Infiniband EDR",Inspur,China,2019,Industry,49800,48000,2164,4423.68,,,Cluster,Intel Skylake,3200,Linux,Linux,NVIDIA Tesla V100,12,Inspur Cluster,Asia
309,250,,"ThinkSystem HR630X, Xeon Silver 4110 8C 2.1GHz, 10G Ethernet",Lenovo,China,2020,Industry,128000,,2155.99,4300.8,,,Cluster,Intel Skylake,2100,Linux,Linux,None,8,Lenovo ThinkSystem,Asia
310,251,,"Sugon TC6000, Xeon Gold 5118 12C 2.3GHz, 10G Ethernet",Sugon,China,2019,Industry,121920,,2152,8973.312,1625,1.324307692,Cluster,Intel Skylake,2300,Linux,Linux,None,12,Sugon Cluster,Asia
311,252,Betty,"Cray CS500, AMD EPYC 7542 32C 2.9GHz, InfiniBand HDR100",HPE,United States,2020,Research,94976,,2133,4406.8864,,,Cluster,AMD Zen-2 (Rome),2900,RHEL 7.7,Linux,None,32,Cray CS,North America
312,253,,"ThinkSystem SR650, Xeon Gold 5218 16C 2.3GHz, 10G Ethernet",Lenovo,China,2019,Industry,96640,,2129.54,7112.704,,,Cluster,Intel Skylake,2300,Linux,Linux,None,16,Lenovo ThinkSystem,Asia
313,,Snellius Phase 1 CPU,"ThinkSystem SR645, AMD EPYC 7H12 64C 2.6GHz, InfiniBand HDR100",Lenovo,Netherlands,2021,Research,73728,,2127.8,3067.08,504,4.221825397,Cluster,AMD Zen-2 (Rome),2600,CentOS Linux 8.4,Linux,None,64,Lenovo ThinkSystem,Europe
314,,Setonix,"HPE Cray EX, AMD EPYC 7763 64C 2.45GHz, Slingshot-10",HPE,Australia,2021,Research,65536,,2122.03,2569.01,,,MPP,AMD Zen-3 (Milan),2450,HPE Cray OS,Linux,None,64,HPE Cray EX,Oceania
315,254,,"INSPUR NF5288M5, Xeon Gold 6148 20C 2.4GHz, NVIDIA Tesla V100, 25G Ethernet",Inspur,China,2020,Industry,44200,41600,2121,4056,,,Cluster,Intel Skylake,2400,Linux,Linux,NVIDIA Tesla V100,20,Inspur Cluster,Asia
316,255,,"Inspur NF5468M5, Xeon Platinum 8163 24C 2.5GHz, NVIDIA Tesla V100, 25G Ethernet",Inspur,China,2020,Industry,44720,41600,2121,4056,,,Cluster,Intel Skylake,2500,Linux,Linux,NVIDIA Tesla V100,24,Inspur Cluster,Asia
317,256,,"Inspur NF5468M5, Xeon Platinum 8163 24C 2.5GHz, NVIDIA Tesla V100, 25G Ethernet",Inspur,China,2020,Industry,44720,41600,2121,4056,,,Cluster,Intel Skylake,2500,Linux,Linux,NVIDIA Tesla V100,24,Inspur Cluster,Asia
318,257,,"Inspur NF5468M5, Xeon Platinum 8163 24C 2.5GHz, NVIDIA Tesla V100, 25G Ethernet",Inspur,China,2020,Industry,44720,41600,2121,4056,,,Cluster,Intel Skylake,2500,Linux,Linux,NVIDIA Tesla V100,24,Inspur Cluster,Asia
319,258,,"Sugon TC6000, Xeon Gold 5118 12C 2.3GHz, NVIDIA Tesla V100, Infiniband EDR",Sugon,China,2019,Government,44720,41600,2115,3903.432,265,7.981132075,Cluster,Intel Skylake,2300,CentOS,Linux,NVIDIA Tesla V100,12,Sugon Cluster,Asia
320,259,,"INSPUR NF5288M5, Xeon Gold 6130 16C 2.1GHz, NVIDIA Tesla V100, 100G Ethernet",Inspur,China,2018,Industry,53760,51200,2109,4652.032,,,Cluster,Intel Skylake,2100,CentOS,Linux,NVIDIA Tesla V100,16,Inspur Cluster,Asia
321,260,MagicCube3,"Sugon TC6000, Xeon Gold 6142 16C 2.6GHz, Intel Omni-Path, NVIDIA Tesla V100",Sugon,China,2019,Research,40960,5120,2109,3434.086,430,4.904651163,Cluster,Intel Skylake,2600,CentOS,Linux,NVIDIA Tesla V100,16,Sugon Cluster,Asia
322,261,I1,"Lenovo HR650x, Xeon Gold 6133 20C 2.5GHz, 25G Ethernet",Lenovo,China,2019,Industry,50000,,2094,4000,,,Cluster,Intel Skylake,2500,Linux,Linux,None,20,Lenovo ThinkSystem,Asia
323,262,ATERUI II ,"Cray XC50, Xeon Gold 6148 20C 2.4GHz, Aries interconnect ",HPE,Japan,2018,Academic,40000,,2089.98,3072,495.86,4.214859033,MPP,Intel Skylake,2400,Cray Linux Environment ,Linux,None,20,Cray XC,Asia
324,263,Greene,"ThinkSystem SR650, Xeon Gold 6240 18C 2.6GHz, Infiniband HDR",Lenovo,United States,2020,Academic,32796,,2088.83,3042.43,511.54,4.083414787,Cluster,Intel Cascade lake,2900,Linux,Linux,None,24,Lenovo ThinkSystem,North America
325,264,,"Sugon TC6000, Xeon Gold 5118 12C 2.3GHz, NVIDIA Tesla V100, 25G Ethernet",Sugon,China,2019,Others,44032,40960,2087,3843.379,260,8.026923077,Cluster,Intel Skylake,2300,CentOS,Linux,NVIDIA Tesla V100,12,Sugon Cluster,Asia
326,265,,"Inspur NF5468M5, Xeon Platinum 8163 24C 2.5GHz, NVIDIA Tesla V100, 25G Ethernet",Inspur,China,2019,Industry,48160,44800,2078,4225.2,,,Cluster,Intel Skylake,2500,Linux,Linux,NVIDIA Tesla V100,24,Inspur Cluster,Asia
327,266,,"Inspur NF5468M5, Xeon Platinum 8163 24C 2.5GHz, NVIDIA Tesla V100, 25G Ethernet",Inspur,China,2019,Industry,48160,44800,2078,4225.2,,,Cluster,Intel Skylake,2500,Linux,Linux,NVIDIA Tesla V100,24,Inspur Cluster,Asia
328,267,,"Inspur NF5468M5, Xeon Platinum 8163 24C 2.5GHz, NVIDIA Tesla V100, 25G Ethernet",Inspur,China,2019,Industry,48160,44800,2078,4225.2,,,Cluster,Intel Skylake,2500,Linux,Linux,NVIDIA Tesla V100,24,Inspur Cluster,Asia
329,268,Cannon,"ThinkSystem SD650, Xeon Platinum 8268 24C 2.9GHz, InfiniBand HDR100",Lenovo,United States,2019,Academic,32160,,2076.89,2984.448,,,Cluster,Intel Cascade lake,2900,Linux,Linux,None,24,Lenovo ThinkSystem,North America
330,269,,"Inspur NF5468M5, Xeon Gold 5118 12C 2.3GHz, NVIDIA Tesla V100, 10G Ethernet",Inspur,China,2019,Industry,59760,57600,2075,5245.776,,,Cluster,Intel Skylake,2300,CentOS,Linux,NVIDIA Tesla V100,12,Inspur Cluster,Asia
331,270,JD I1,"ThinkSystem SR650, Xeon Gold 6148 20C 2.4GHz, 10G Ethernet",Lenovo,China,2018,Industry,52320,,2074.04,4018.176,,,Cluster,Intel Skylake,2400,Linux,Linux,None,20,Lenovo ThinkSystem,Asia
332,271,Tianhe-2 LvLiang Solution,"Tianhe-2 LvLiang, Intel Xeon E5-2692v2 12C 2.2GHz, TH Express-2, Intel Xeon Phi 31S1P",NUDT,China,2014,Industry,174720,153216,2071.39,3074.5344,997,2.077622869,Cluster,Intel IvyBridge,2200,Kylin Linux,Linux,Intel Xeon Phi 31S1P,12,Tianhe-2 LvLiang,Asia
333,,Grace-GPU,"PowerEdge R740, Xeon Gold 6248R 24C 3GHz, NVIDIA A100 40GB, InfiniBand HDR 100",DELL EMC,United States,2020,Academic,26400,21600,2063,3900,,,Cluster,Intel Cascade lake,3000,CentOS,Linux,NVIDIA A100 40GB,24,Dell PowerEdge Cluster,North America
334,272,,"ThinkSystem SR650, Xeon Gold 6142 16C 2.6GHz, NVIDIA Tesla V100, Infiniband EDR",Lenovo,China,2019,Government,44160,36800,2059.88,3862.252,,,Cluster,Intel Skylake,2600,Linux,Linux,NVIDIA Tesla V100,16,Lenovo ThinkSystem,Asia
335,273,,"ThinkSystem SR650, Xeon Gold 6248 20C 2.5GHz, 10G Ethernet",Lenovo,China,2019,Industry,49200,,2045.93,3936,,,Cluster,Intel Cascade lake,2500,Linux,Linux,None,20,Lenovo ThinkSystem,Asia
336,274,,"INSPUR NF5288M5, Xeon Gold 6148 20C 2.4GHz, NVIDIA Tesla V100, 10G Ethernet",Inspur,China,2019,Industry,53040,49920,2028,4648.176,,,Cluster,Intel Skylake,2400,Linux,Linux,NVIDIA Tesla V100,20,Inspur Cluster,Asia
337,275,,"INSPUR NF5288M5, Xeon Gold 6148 20C 2.4GHz, NVIDIA Tesla V100, 10G Ethernet",Inspur,China,2019,Industry,53040,49920,2028,4648.176,,,Cluster,Intel Skylake,2400,Linux,Linux,NVIDIA Tesla V100,20,Inspur Cluster,Asia
338,276,,"ThinkSystem HR650X, Xeon Gold 6133 20C 2.5GHz, 25G Ethernet",Lenovo,China,2020,Industry,48000,,2027.52,3840,,,Cluster,Intel Skylake,2500,Linux,Linux,None,20,Lenovo ThinkSystem,Asia
339,277,,"Sugon TC6000, Xeon Gold 6140 18C 2.3GHz, 10G Ethernet",Sugon,China,2019,Industry,55440,,2026,4080.384,590,3.433898305,Cluster,Intel Skylake,2300,CentOS,Linux,None,18,Sugon Cluster,Asia
340,278,,"Inspur NF5468M5, Xeon Gold 5120 14C 2.2GHz, NVIDIA Tesla V100, 10G Ethernet",Inspur,China,2020,Others,48880,41600,2016,44982.27,,,Cluster,Intel Skylake,2200,Linux,Linux,NVIDIA Tesla V100,14,Inspur Cluster,Asia
341,279,TX-Green2,"PowerEdge C6420, Xeon Platinum 8260 24C 2.4GHz, 25G Ethernet",ACTION,United States,2021,Academic,43200,,2015,53084.16,,,Cluster,Intel Cascade lake,2400,Ubuntu,Linux,None,24,Dell PowerEdge Cluster,North America
342,280,J1,"Lenovo HR650x, Xeon Gold 6133 20C 2.5GHz, 25G Ethernet",Lenovo,China,2019,Industry,48000,,2014.46,3840,,,Cluster,Intel Skylake,2500,Linux,Linux,None,20,Lenovo ThinkSystem,Asia
343,281,,"Inspur NF5468M5, Xeon Platinum 8260M 24C 2.4GHz, NVIDIA Tesla V100, 100G Ethernet",Inspur,China,2020,Industry,41280,38400,2011,3744,,,Cluster,Intel Cascade lake,2400,Linux,Linux,NVIDIA Tesla V100,24,Inspur Cluster,Asia
344,282,,"Inspur NF5468M5, Xeon Gold 6230 20C 2.1GHz, NVIDIA Tesla V100, 25G Ethernet",Inspur,China,2020,Industry,40800,38400,2011,3744,,,Cluster,Intel Cascade lake,2100,Linux,Linux,NVIDIA Tesla V100,20,Inspur Cluster,Asia
345,283,,"Sugon TC6000, Xeon Gold 5118 12C 2.3GHz, 10G Ethernet",Sugon,China,2019,Industry,110880,,2007,8160.768,1470,1.365306122,Cluster,Intel Skylake,2300,Linux,Linux,None,12,Sugon Cluster,Asia
346,284,,"Sugon TC6000, Xeon Gold 5118 12C 2.3GHz, NVIDIA Tesla V100, 25G Ethernet",Sugon,China,2019,Industry,42312,39360,2003,3693.542,250,8.012,Cluster,Intel Skylake,2300,CentOS,Linux,NVIDIA Tesla V100,12,Sugon Cluster,Asia
347,285,Koehr,"HPE SGI 8600, Xeon Platinum 8168 24C 2.7GHz, Intel Omni-Path",HPE,United States,2018,Government,34560,,2001.99,2985.984,,,Cluster,Intel Skylake,2700,Red Hat Enterprise Linux,Linux,None,24,HPE SGI 8600,North America
348,286,Gaffney,"HPE SGI 8600, Xeon Platinum 8168 24C 2.7GHz, Intel Omni-Path",HPE,United States,2018,Government,34560,,2001.99,2985.984,,,Cluster,Intel Skylake,2700,Red Hat Enterprise Linux,Linux,None,24,HPE SGI 8600,North America
349,287,Grand Chariot,"PRIMERGY CX2550 M4 M4, Xeon Gold 6148 20C 2.4GHz, Intel Omni-Path",Fujitsu,Japan,2018,Academic,39760,,2000,3053.568,,,Cluster,Intel Skylake,2400,Linux,Linux,None,20,Fujitsu PRIMERGY,Asia
350,288,A64FX prototype,"Fujitsu A64FX, Fujitsu A64FX 48C 2GHz, Tofu interconnect D",Fujitsu,Japan,2019,Vendor,36864,,1999.5,2359.296,118.48,16.87626604,Cluster,Fujitsu ARM,2000,Linux,Linux,None,48,Fujitsu Cluster,Asia
351,289,TTSystem,"Sugon TC6000, Xeon E5-2630v4 10C 2.2GHz, 10G Ethernet",Sugon,China,2018,Industry,116600,,1997,4104.32,1200,1.664166667,Cluster,Intel Broadwell,2200,CentOS,Linux,None,10,Sugon Cluster,Asia
352,290,,"Sugon TC6000, Xeon Gold 6148 20C 2.4GHz, Infiniband EDR",Sugon,China,2019,Industry,520000,,1985,39936,510,3.892156863,Cluster,Intel Skylake,2400,CentOS,Linux,None,20,Sugon Cluster,Asia
353,291,K1,"Lenovo HR650x, Xeon Gold 6133 20C 2.5GHz, 25G Ethernet",Lenovo,China,2019,Industry,47200,,1983.15,3776,,,Cluster,Intel Skylake,2500,Linux,Linux,None,20,Lenovo ThinkSystem,Asia
354,292,Gaïa,"Bull intel Cluster, Xeon Gold 6140 18C 2.3GHz, Intel Omni-Path",Atos,France,2018,Industry,41472,,1980.53,3052.339,512,3.868222656,Cluster,Intel Skylake,2300,Calibre OS,Linux,None,18,Bull Cluster,Europe
355,293,HKVDPSystem,"Sugon TC6000, Xeon E5-2620v4 8C 2.1GHz, 10G Ethernet",Sugon,China,2018,Industry,121920,,1979,4096.512,1216,1.627467105,Cluster,Intel Broadwell,2100,Linux,Linux,None,8,Sugon Cluster,Asia
356,294,HKVDPSystem,"Sugon TC6000, Xeon E5-2620v4 8C 2.1GHz, 10G Ethernet",Sugon,China,2018,Industry,121920,,1979,4096.512,1216,1.627467105,Cluster,Intel Broadwell,2100,Linux,Linux,None,8,Sugon Cluster,Asia
357,295,bsystem,"Sugon TC6000, Xeon Gold 6130 16C 2.1GHz, 25G Ethernet",Sugon,China,2019,Industry,60800,,1976,4085.76,660,2.993939394,Cluster,Intel Skylake,2100,CentOS,Linux,None,16,Sugon Cluster,Asia
358,296,,"ThinkSystem SR590, Xeon Gold 5218 16C 2.3GHz, 10G Ethernet",Lenovo,China,2019,Industry,89600,,1975.07,6594.56,,,Cluster,Intel Skylake,2300,Linux,Linux,None,16,Lenovo ThinkSystem,Asia
359,297,,"Inspur NF5468M5, Xeon Gold 6146 12C 3.2GHz, NVIDIA Tesla V100, Infiniband EDR",Inspur,China,2019,Industry,45152,43520,1975,4010.477,,,Cluster,Intel Skylake,3200,Linux,Linux,NVIDIA Tesla V100,12,Inspur Cluster,Asia
360,298,,"Inspur NF5468M5, Xeon Gold 6146 12C 3.2GHz, NVIDIA Tesla V100, 25G Ethernet",Inspur,China,2019,Industry,45152,43520,1975,4010.477,,,Cluster,Intel Skylake,3200,Linux,Linux,NVIDIA Tesla V100,12,Inspur Cluster,Asia
361,299,,"Inspur NF5468M5, Xeon Gold 6146 12C 3.2GHz, NVIDIA Tesla V100, 25G Ethernet",Inspur,China,2019,Industry,45152,43520,1975,4010.477,,,Cluster,Intel Skylake,3200,Linux,Linux,NVIDIA Tesla V100,12,Inspur Cluster,Asia
362,,B3A,"ThinkSystem C2397, Xeon Platinum 8280 28C 2.7GHz, 100G Ethernet",Lenovo,Ireland,2021,Industry,44800,,1969.81,3870.72,,,Cluster,Intel Cascade lake,2700,Linux,Linux,None,28,Lenovo ThinkSystem,Europe
363,,,"ThinkSystem C2397, Xeon Platinum 8280 28C 2.7GHz, 100G Ethernet",Lenovo,United States,2021,Industry,44800,,1969.81,3870.72,,,Cluster,Intel Cascade lake,2700,Linux,Linux,None,28,Lenovo ThinkSystem,North America
364,300,Mogon II,"NEC Cluster, Xeon Gold 6130 16C 2.1GHz, MEGWARE MiriQuid Xeon E5-2630v4, Intel Omni-Path",NEC/MEGWARE,Germany,2017,Academic,49432,,1967.81,2800.86998,657,2.995144597,Cluster,Intel Skylake,2100,CentOS,Linux,None,16,NEC Cluster,Europe
365,301,Biowulf,"Apollo 2000 Gen 8/9, Xeon E5-2680v4/E5-2695v3 14C 2.4GHz, Infiniband FDR",HPE,United States,2016,Research,66304,,1966.08,2491.3728,,,Cluster,Intel Broadwell,2400,Linux,Linux,None,14,HP Apollo,North America
366,302,,"Sugon TC6000, Xeon Gold 5118 12C 2.3GHz, 25G Ethernet, NVIDIA Tesla V100",Sugon,China,2019,Industry,41280,38400,1963,3603.456,245,8.012244898,Cluster,Intel Skylake,2300,CentOS,Linux,NVIDIA Tesla V100,12,Sugon Cluster,Asia
367,303,,"Sugon TC6000, Xeon Gold 6132 14C 2.6GHz, 25G Ethernet",Sugon,China,2019,Industry,47600,,1955,3960.32,650,3.007692308,Cluster,Intel Skylake,2600,CentOS,Linux,None,14,Sugon Cluster,Asia
368,304,,"Sugon TC6000, Xeon Gold 6140 18C 2.3GHz, 10G Ethernet",Sugon,China,2019,Industry,53280,,1952,3921.408,570,3.424561404,Cluster,Intel Skylake,2300,CentOS,Linux,None,18,Sugon Cluster,Asia
369,305,,"Sugon TC6000, Xeon Gold 6130 16C 2.1GHz, 25G Ethernet",Sugon,China,2019,Industry,58112,,1934,3905.126,630,3.06984127,Cluster,Intel Skylake,2100,CentOS,Linux,None,16,Sugon Cluster,Asia
370,306,,"Inspur NF5468M5, Xeon Gold 6132 14C 2.6GHz, NVIDIA Tesla V100, 25G Ethernet",Inspur,China,2020,Industry,51504,47360,1928,4618,,,Cluster,Intel Skylake,2600,Linux,Linux,NVIDIA Tesla V100,14,Inspur Cluster,Asia
371,307,CTcluster,"Sugon TC6000, Xeon Gold 6140 18C 2.3GHz, 10G Ethernet",Sugon,China,2018,Industry,54000,,1928,3974.4,520,3.707692308,Cluster,Intel Skylake,2300,CentOS,Linux,None,18,Sugon Cluster,Asia
372,308,,"Inspur TS10000, Xeon Gold 6130 16C 2.1GHz, NVIDIA Tesla V100, Infiniband EDR",Inspur,China,2017,Industry,40320,38400,1921,3520.512,,,Cluster,Intel Skylake,2100,CentOS,Linux,NVIDIA Tesla V100,16,Inspur Cluster,Asia
373,309,,"ThinkSystem SR650, Xeon Gold 6138 20C 2GHz, 10G Ethernet",Lenovo,China,2019,Industry,57200,,1914.59,3660.8,,,Cluster,Intel Skylake,2000,Linux,Linux,None,20,Lenovo ThinkSystem,Asia
374,310,,"Huawei 2288H V5, Xeon Gold 6150 18C 2.7GHz, 10G Ethernet",Huawei,China,2018,Industry,49680,,1914.38,4292.352,732.78,2.612489424,Cluster,Intel Skylake,2700,Linux,Linux,None,18,Huawei Cluster,Asia
375,311,,"ThinkSystem SR650, Xeon E5-2698v3 16C 2.3GHz, 10G Ethernet",Lenovo,China,2019,Industry,86400,,1905.48,3179.52,,,Cluster,Intel Haswell,2300,Linux,Linux,None,16,Lenovo ThinkSystem,Asia
376,312,,"Sugon TC6000, Xeon Gold 6132 14C 2.6GHz, 25G Ethernet",Sugon,China,2019,Industry,46200,,1901,3843.84,630,3.017460317,Cluster,Intel Skylake,2600,CentOS,Linux,None,14,Sugon Cluster,Asia
377,313,Piz Daint Multicore,"Cray XC40, Xeon E5-2695v4 18C 2.1GHz, Aries interconnect ",HPE,Switzerland,2016,Research,65268,,1896.75,2193.005,732.4,2.589773348,MPP,Intel Broadwell,2100,Cray Linux Environment ,Linux,None,18,Cray XC,Europe
378,314,,"Sugon TC6000, Xeon Gold 6130 16C 2.1GHz, 25G Ethernet",Sugon,China,2019,Industry,56800,,1896,3816.96,625,3.0336,Cluster,Intel Skylake,2100,CentOS,Linux,None,16,Sugon Cluster,Asia
379,,Agate,"Apollo 6500, AMD EPYC 7763 64C 2.45GHz, NVIDIA A100 SXM4 40 GB, InfiniBand HDR 100",HPE,United States,2021,Academic,31744,27648,1884,3551.31,,,Cluster,AMD Zen-3 (Milan),2450,RHEL 8.3,Linux,NVIDIA A100 SXM4 40 GB,64,HP Apollo,North America
380,315,A1,"Lenovo HR650x, Xeon Gold 6148 20C 2.4GHz, 25G Ethernet",Lenovo,China,2019,Industry,47040,,1882.56,3612.672,,,Cluster,Intel Skylake,2400,Linux,Linux,None,20,Lenovo ThinkSystem,Asia
381,316,,"INSPUR SA5212M5, Xeon Gold 5117 14C 2GHz, NVIDIA Tesla V100, 10G Ethernet",Inspur,China,2018,Industry,173680,166400,1872,15162.368,,,Cluster,Intel Skylake,2000,CentOS,Linux,NVIDIA Tesla V100,14,Inspur Cluster,Asia
382,317,,"Inspur TS10000, Xeon Gold 6130 16C 2.1GHz, NVIDIA Tesla V100, 25G Ethernet",Inspur,China,2018,Industry,40320,38400,1872,3520.512,,,Cluster,Intel Skylake,2100,CentOS,Linux,NVIDIA Tesla V100,16,Inspur Cluster,Asia
383,318,Tera-1000-1,"bullx DLC 720, Xeon E5-2698v3 16C 2.3GHz, Infiniband FDR",Atos,France,2016,Research,70272,,1871,2586.01,1042,1.795585413,Cluster,Intel Haswell,2300,Bullx Linux,Linux,None,16,Bull Bullx,Europe
